id,start_timestamp,duration,end_timestamp,start_frame_index,index,end_frame_index,confidence,filter_response,base_data
1,149491.9080162,0.19979899999452755,149492.1078152,58,61,64,0.6621288506532129,0.5328002705336347 0.6342394065795852 0.7214977201206443 0.8260263801442983 0.9216482463528337 0.9469426915319605 1.0359688135490748 0.8734149344229175 0.7430345754620241 0.5890360084636481 0.42655940372823853 0.2614683350718823 0.08386823829866412 -0.0920888564413205 -0.2683191336175769 -0.4482431658200504 -0.6334283510052355 -0.7753008718052258 -0.9503901758169923 -0.8946673591337588 -0.8937851772773914 -0.8527314406260061 -0.7891936785050881 -0.7184732421086661 -0.6400947899136046,149491.9080162 149491.9166792 149491.9237242 149491.9318072 149491.93974519998 149491.9477112 149491.9556812 149491.9636662 149491.9718002 149491.97972119998 149491.98780419998 149491.9956792 149492.00382019999 149492.01167419998 149492.0198212 149492.0277872 149492.03577219998 149492.04383819998 149492.0518772 149492.0597782 149492.0678162 149492.07586319998 149492.0839462 149492.0917662 149492.0998142
2,149494.51991019998,0.2439330000197515,149494.7638432,136,140,144,0.6815107563822482,0.53248967865665 0.6250822712492426 0.7176748638418353 0.810267456434428 0.9028600490270203 0.9954526416196132 1.0565275563752576 0.963934963782665 0.8713423711900725 0.7827188518930732 0.759837544344053 0.6672449517514604 0.48298569249220114 0.3151337532466946 0.16462192551291296 0.001512551245829413 -0.17745773489390607 -0.3443352209815639 -0.5135506495899992 -0.602195013955824 -0.6947876065484165 -0.7873801991410092 -0.9148284342553881 -1.0074210268479806 -0.9166802861072398 -0.8587541853940045 -0.8355083077042194 -0.7863465622619349 -0.7061837677602416 -0.6502065733627039,149494.51991019998 149494.52778419998 149494.5358092 149494.54368119998 149494.5517282 149494.5596332 149494.56777519998 149494.5755782 149494.58373319998 149494.59168319998 149494.5998372 149494.6076382 149494.6157812 149494.6238232 149494.63172419998 149494.6397302 149494.6477112 149494.65579619998 149494.6638752 149494.67177619998 149494.6797062 149494.6878512 149494.7001512 149494.7078172 149494.7157602 149494.7237672 149494.73181219999 149494.73971519998 149494.7476942 149494.75568819998
3,149501.8959032,0.25574500000220723,149502.1516482,356,360,364,0.49866606970532346,0.5513295508752151 0.613466338934379 0.6760071333466738 0.7519716857315095 0.7210248452603082 0.7826585590796706 0.8539305481603114 0.7613379555677189 0.5960884740199556 0.5908386890565391 0.4982460964639464 0.4056535038713539 0.3130609112787613 0.23683653817953526 0.2043475419475378 0.028402302792156983 0.037673018645963105 -0.0679311354463311 -0.213541165496962 -0.30066582666000946 -0.22678361270984934 -0.35987400947650156 -0.44380173688438085 -0.5181574716035513 -0.6105823985379703 -0.6445440165170102 -0.7671884072899003 -0.6764476665491593 -0.682928433948846 -0.6577257192142386 -0.6229628333788029 -0.5413061036453004,149501.8959032 149501.9038822 149501.9117962 149501.91987719998 149501.9277752 149501.9358722 149501.9437762 149501.9516252 149501.9597012 149501.96773519999 149501.9756332 149501.9837362 149501.9917062 149501.9997932 149502.0077012 149502.0158232 149502.0238262 149502.0317652 149502.0397882 149502.0477522 149502.05575519998 149502.0637872 149502.0718062 149502.07975419998 149502.0878162 149502.09585719998 149502.1038082 149502.1118062 149502.1198252 149502.1278282 149502.13584819998 149502.14377119998
4,149507.1396532,0.2040629999828525,149507.34371619998,513,516,519,0.6646855044461318,0.5634206754189952 0.6560132680115879 0.7486058606041804 0.8411984531967732 0.9337910457893656 1.026383638381958 1.0115793245810054 0.9189867319884124 0.767318434707292 0.6104632212859296 0.44105379611559614 0.2705051109446101 0.10217691403050234 -0.07370356666515145 -0.25347253296908284 -0.4386577181542681 -0.6238429033394534 -0.8090280885246385 -0.803014820513051 -0.8956074131056434 -0.8700485963211804 -0.8317266288430286 -0.7706855562801397 -0.7073659637159456 -0.6484873476655081,149507.1396532 149507.1476452 149507.1557572 149507.1636832 149507.17158519998 149507.1796372 149507.18779519998 149507.19573019998 149507.2037062 149507.2116982 149507.21974119998 149507.2278682 149507.2358312 149507.24380919998 149507.25197019998 149507.2598412 149507.26811119998 149507.2757842 149507.28388419998 149507.29181519998 149507.29981519998 149507.30781519998 149507.3198562 149507.32780519998 149507.33583519998
5,149509.2557972,0.1839990000007674,149509.4397962,576,579,582,0.6617552956148521,0.568843140624277 0.6614357332168695 0.7540283258094621 0.8466209184020548 0.9392135109946473 1.0103452967053002 1.0175863063212052 0.9249937137286127 0.7543072265795796 0.5882868883974836 0.41293718706355453 0.2543640739576394 0.0836397592856637 -0.10154542589952147 -0.27875298193530507 -0.4639381671204902 -0.6491233523056753 -0.8235781340498904 -0.8735692803734476 -0.9517093360652019 -0.8836241106160863 -0.7367686194370794 -0.6411603102525543,149509.2557972 149509.26380719998 149509.27184819998 149509.2798532 149509.2878852 149509.2957992 149509.3038952 149509.31182419998 149509.31976719998 149509.3278212 149509.33583919998 149509.3437992 149509.35165119998 149509.3595682 149509.36774619998 149509.37569719998 149509.38362819998 149509.3915902 149509.3997092 149509.40767319998 149509.4159772 149509.42369519998 149509.43190619998
6,149509.49581919998,0.19588199999998324,149509.69170119998,583,586,589,0.5965779739515756,0.6011690209140251 0.7574491322975341 0.855560365068624 0.7821326194791205 0.8391873273340795 0.770270886220219 0.6062825900796924 0.4675397242920804 0.42547755249418173 0.2592630632196269 0.08506149083673528 -0.03442470092166792 -0.20586000518368774 -0.36316746332833494 -0.5322980877727312 -0.6248906803653241 -0.7873891812560644 -0.879981773848657 -0.814781585083031 -0.8150736312855847 -0.7914426197008233 -0.7367914189294915 -0.6661660519414861 -0.6162104029850106,149509.49581919998 149509.5038222 149509.5118392 149509.51980419998 149509.5277032 149509.5358712 149509.5438212 149509.5518662 149509.5596062 149509.5677702 149509.57568319998 149509.5837952 149509.5915942 149509.59975519998 149509.6076892 149509.6157532 149509.6237032 149509.6319142 149509.6397452 149509.64786219998 149509.6597112 149509.66790519998 149509.6758502 149509.6838982
7,149514.4517442,0.20000700000673532,149514.6517512,731,734,737,0.6365172377627328,0.5666918178399404 0.6592844104325329 0.7518770030251256 0.8444695956177182 0.9370621882103106 0.9587981804203074 1.0495389211610482 0.8741273133654641 0.719580356040412 0.5646916378239044 0.4063306344691606 0.24860804101155012 0.079949590213798 -0.09185455642040971 -0.26435701561975006 -0.44954220080493523 -0.6248022081863746 -0.6963721422525052 -0.8806314015117644 -0.8075859636983745 -0.7762698268260476 -0.7417502548771131 -0.6970478474905453 -0.6485720135359107 -0.5731358232133171,149514.4517442 149514.4597852 149514.4679132 149514.4757122 149514.48385219998 149514.49182219998 149514.49984119998 149514.5078112 149514.5155822 149514.52367619998 149514.53186719998 149514.53962519998 149514.54766719998 149514.5557072 149514.5637332 149514.57175819998 149514.57967419998 149514.58763219998 149514.5957142 149514.6037942 149514.61167719998 149514.61972719998 149514.6278542 149514.6358322 149514.6437272
8,149516.5636842,0.20405999998911284,149516.76774419998,794,797,800,0.4607361787228175,0.5068257756616606 0.5546408093447311 0.6147579878378071 0.5444157539503818 0.4676272777304982 0.4025729195748591 0.43293461856803167 0.3713216683105735 0.3460881633617809 0.2082631014842123 0.07205540060472689 -0.07013822366214494 -0.11037848604122048 -0.24788739494879303 -0.390290518504153 -0.4730809782518206 -0.565673570844413 -0.6582661634370058 -0.7156174038849038 -0.6830999655464869 -0.69022470189969 -0.6510324569372804 -0.6136583468037208 -0.5653441131827591 -0.5622086676967817,149516.5636842 149516.57173919998 149516.5797152 149516.58766619998 149516.5956652 149516.6037432 149516.6116822 149516.61968819998 149516.6277672 149516.63593219998 149516.64382119998 149516.65184419998 149516.6596972 149516.6718782 149516.67981519998 149516.6878272 149516.6956972 149516.70386419998 149516.71178319998 149516.7198012 149516.7276962 149516.7358872 149516.7437342 149516.75172519998 149516.7595652
9,149520.3796232,0.18007299999590032,149520.55969619998,908,910,913,0.5393843918645632,0.5100033771490972 0.5580059623595969 0.6505985549521895 0.7483957147475973 0.8409883073401897 0.8459266526627229 0.8436759534818028 0.6615597603292034 0.4967672060831487 0.33394993872705325 0.17108841492221216 -0.008274124969631329 -0.06714179856677475 -0.15937428747776713 -0.3425557079982672 -0.5277408931834522 -0.7129260783686374 -0.722802769013704 -0.7688790906581704 -0.6824244821307492 -0.6306171514164177 -0.5827603944820046,149520.3796232 149520.38772919998 149520.39564419998 149520.4076492 149520.4158772 149520.4238232 149520.4319612 149520.43970719998 149520.44769119998 149520.4558332 149520.4638222 149520.47180919998 149520.4796962 149520.48776319998 149520.49581219998 149520.5037422 149520.51170019998 149520.51987619998 149520.5278142 149520.5359662 149520.54367719998 149520.5516182
10,149522.43981319998,0.20804200001293793,149522.6478552,969,972,976,0.47984743249870454,0.5358922515050552 0.603701332141115 0.5111087395485224 0.41851614695593 0.4095682109423042 0.4992016198896779 0.5900358571384872 0.5840650059997011 0.5161779568694275 0.48116220456882974 0.4564189247215856 0.37495219583120204 0.21316744649107403 0.05284750337209551 -0.02662719413830589 -0.1117586042337326 -0.23585322922563645 -0.4154982230491971 -0.5997574823084564 -0.7316302036008109 -0.7019465891823364 -0.7154235281041679 -0.7157056286483945 -0.7148532104817747 -0.6663242511280099 -0.5938397048904879,149522.43981319998 149522.44782119998 149522.4557662 149522.46378219998 149522.47186619998 149522.4798492 149522.48780519998 149522.49569419998 149522.5038492 149522.5117132 149522.5198172 149522.5278082 149522.53585319998 149522.5437772 149522.55170719998 149522.5596332 149522.5677622 149522.57574119998 149522.5836782 149522.59158419998 149522.5997392 149522.6076892 149522.6158222 149522.6237272 149522.63186219998 149522.6398132
