Stim_images,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,eye_recoed_start.started,eye_recoed_start.stopped,polygon.started,polygon.stopped,roi.numLooks,roi.timesOn,roi.timesOff,Grid_2.started,high_grid_square1_2.started,high_grid_square2_2.started,high_grid_square3_2.started,high_grid_square4_2.started,high_grid_square5_2.started,high_grid_square6_2.started,high_grid_square7_2.started,high_grid_square8_2.started,high_grid_square9_2.started,high_grid_square10_2.started,high_grid_square11_2.started,high_grid_square12_2.started,high_grid_square13_2.started,high_grid_square14_2.started,high_grid_square15_2.started,high_grid_square16_2.started,dot1a.started,dot2a.started,dot3a.started,dot4a.started,dot5a.started,dot6a.started,dot7a.started,dot8a.started,dot9a.started,dot10a.started,dot11a.started,dot12a.started,dot13a.started,dot14a.started,dot15a.started,dot16a.started,roi_3.started,Grid_2.stopped,high_grid_square1_2.stopped,high_grid_square2_2.stopped,high_grid_square3_2.stopped,high_grid_square4_2.stopped,high_grid_square5_2.stopped,high_grid_square6_2.stopped,high_grid_square7_2.stopped,high_grid_square8_2.stopped,high_grid_square9_2.stopped,high_grid_square10_2.stopped,high_grid_square11_2.stopped,high_grid_square12_2.stopped,high_grid_square13_2.stopped,high_grid_square14_2.stopped,high_grid_square15_2.stopped,high_grid_square16_2.stopped,dot1a.stopped,dot2a.stopped,dot3a.stopped,dot4a.stopped,dot5a.stopped,dot6a.stopped,dot7a.stopped,dot8a.stopped,dot9a.stopped,dot10a.stopped,dot11a.stopped,dot12a.stopped,dot13a.stopped,dot14a.stopped,dot15a.stopped,dot16a.stopped,roi_3.stopped,roi_3.numLooks,roi_3.timesOn,roi_3.timesOff,polygon2.started,polygon2.stopped,image_2.started,image_2.stopped,grid.started,sq1.started,sq2.started,sq3.started,sq4.started,sq5.started,sq6.started,sq7.started,sq8.started,sq9.started,sq10.started,sq11.started,sq12.started,sq13.started,sq14.started,sq15.started,sq16.started,dot1_2.started,dot2_2.started,dot3_2.started,dot4_2.started,dot16_2.started,dot15_2.started,dot14_2.started,dot12_2.started,dot13_2.started,dot11_2.started,dot9_2.started,dot10_2.started,dot8_2.started,dot7_2.started,dot6_2.started,dot5_2.started,key_resp.started,roi_2.started,key_resp.keys,key_resp.rt,roi_2.numLooks,roi_2.timesOn,roi_2.timesOff,image.started,image.stopped,Grid.started,high_grid_square1.started,high_grid_square2.started,high_grid_square3.started,high_grid_square4.started,high_grid_square5.started,high_grid_square6.started,high_grid_square7.started,high_grid_square8.started,high_grid_square9.started,high_grid_square10.started,high_grid_square11.started,high_grid_square12.started,high_grid_square13.started,high_grid_square14.started,high_grid_square15.started,high_grid_square16.started,dot1.started,dot2.started,dot3.started,dot4.started,dot5.started,dot6.started,dot7.started,dot8.started,dot9.started,dot10.started,dot11.started,dot12.started,dot13.started,dot14.started,dot15.started,dot16.started,roi.started,Grid.stopped,high_grid_square1.stopped,high_grid_square2.stopped,high_grid_square3.stopped,high_grid_square4.stopped,high_grid_square5.stopped,high_grid_square6.stopped,high_grid_square7.stopped,high_grid_square8.stopped,high_grid_square9.stopped,high_grid_square10.stopped,high_grid_square11.stopped,high_grid_square12.stopped,high_grid_square13.stopped,high_grid_square14.stopped,high_grid_square15.stopped,high_grid_square16.stopped,dot1.stopped,dot2.stopped,dot3.stopped,dot4.stopped,dot5.stopped,dot6.stopped,dot7.stopped,dot8.stopped,dot9.stopped,dot10.stopped,dot11.stopped,dot12.stopped,dot13.stopped,dot14.stopped,dot15.stopped,dot16.stopped,roi.stopped,grid.stopped,sq1.stopped,sq2.stopped,sq3.stopped,sq4.stopped,sq5.stopped,sq6.stopped,sq7.stopped,sq8.stopped,sq9.stopped,sq10.stopped,sq11.stopped,sq12.stopped,sq13.stopped,sq14.stopped,sq15.stopped,sq16.stopped,dot1_2.stopped,dot2_2.stopped,dot3_2.stopped,dot4_2.stopped,dot16_2.stopped,dot15_2.stopped,dot14_2.stopped,dot12_2.stopped,dot13_2.stopped,dot11_2.stopped,dot9_2.stopped,dot10_2.stopped,dot8_2.stopped,dot7_2.stopped,dot6_2.stopped,dot5_2.stopped,key_resp.stopped,roi_2.stopped,etRecord.started,etRecord.stopped,participant,session,date,expName,psychopyVersion,frameRate,
OS/OS2.jpg,0,0,0,7,0,0,0,0,2.970000059576705e-05,2.970000059576705e-05,38.699409999993804,39.70931980000023,0,,,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,39.70931980000023,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,40.460640599994804,0,,,40.460640599994804,40.9589549999946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shruti_4,001,2023-07-20_16h31.52.567,visuospatial,2022.2.5,59.99170914464814,
OS/OS2.jpg,0,0,0,7,1,0,1,0,,,,,0,,,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,40.9589549999946,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,41.70860569999786,0,,,41.70860569999786,42.20870769999601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shruti_4,001,2023-07-20_16h31.52.567,visuospatial,2022.2.5,59.99170914464814,
OS/OS2.jpg,0,0,0,7,2,0,2,0,,,,,0,,,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.20870769999601,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,42.95875359999627,0,,,42.95875359999627,43.548968299997796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shruti_4,001,2023-07-20_16h31.52.567,visuospatial,2022.2.5,59.99170914464814,
FS/571.png,0,1,1,2,0,0,0,0,,,47.40188749999652,48.408579799994186,0,,,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,48.408579799994186,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,49.16024269999616,0,,,49.16024269999616,49.66276659999858,43.548968299997796,44.04235479999625,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,44.54172429999744,['left'],[0.7677175999997417],0,,,45.34174559999519,47.40188749999652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shruti_4,001,2023-07-20_16h31.52.567,visuospatial,2022.2.5,59.99170914464814,
FS/571.png,0,1,1,2,1,0,1,0,,,,,0,,,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,49.66276659999858,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,50.41018339999573,1,[0.3453141999998479],[0.5455250000013621],50.41018339999573,50.90845929999341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shruti_4,001,2023-07-20_16h31.52.567,visuospatial,2022.2.5,59.99170914464814,
FS/571.png,0,1,1,2,2,0,2,0,,,,,0,,,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,50.90845929999341,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,51.6625722999961,0,,,51.6625722999961,52.19494579999446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shruti_4,001,2023-07-20_16h31.52.567,visuospatial,2022.2.5,59.99170914464814,
FS/52.png,0,2,2,19,0,0,0,0,,,56.53097010000056,57.52511539999978,0,,,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,57.52511539999978,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,58.27674289999413,0,,,58.27674289999413,58.778928100000485,52.19494579999446,52.691802099994675,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,53.19174539999949,['left'],[1.0624099000051501],0,,,54.27674699999625,56.53097010000056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shruti_4,001,2023-07-20_16h31.52.567,visuospatial,2022.2.5,59.99170914464814,
FS/52.png,0,2,2,19,1,0,1,0,,,,,0,,,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,58.778928100000485,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,59.525068199996895,2,"[0.34533730000111973, 0.6469663999960176]","[0.6120632999954978, 0.745486499996332]",59.525068199996895,60.02501399999892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shruti_4,001,2023-07-20_16h31.52.567,visuospatial,2022.2.5,59.99170914464814,
FS/52.png,0,2,2,19,2,0,2,0,,,,,0,,,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.02501399999892,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,60.77920399999857,1,[0.6348412999941502],[0.7520125999944867],60.77920399999857,61.320141699994565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shruti_4,001,2023-07-20_16h31.52.567,visuospatial,2022.2.5,59.99170914464814,
FS/161.png,0,3,3,13,0,0,0,0,,,64.25781279999501,65.26211279999552,2,"[0.4337742999996408, 0.6004543000017293]","[0.5655623999991803, 0.6340472000010777]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,66.00808200000029,66.5084127999944,61.320141699994565,61.80980389999604,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,62.30818829999771,['left'],[0.569026400007715],0,,,62.90832809999847,64.25781279999501,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,65.26211279999552,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,66.00808200000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shruti_4,001,2023-07-20_16h31.52.567,visuospatial,2022.2.5,59.99170914464814,
