Stim_images,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,eye_recoed_start.started,eye_recoed_start.stopped,polygon.started,polygon.stopped,roi.numLooks,roi.timesOn,roi.timesOff,Grid_2.started,high_grid_square1_2.started,high_grid_square2_2.started,high_grid_square3_2.started,high_grid_square4_2.started,high_grid_square5_2.started,high_grid_square6_2.started,high_grid_square7_2.started,high_grid_square8_2.started,high_grid_square9_2.started,high_grid_square10_2.started,high_grid_square11_2.started,high_grid_square12_2.started,high_grid_square13_2.started,high_grid_square14_2.started,high_grid_square15_2.started,high_grid_square16_2.started,dot1a.started,dot2a.started,dot3a.started,dot4a.started,dot5a.started,dot6a.started,dot7a.started,dot8a.started,dot9a.started,dot10a.started,dot11a.started,dot12a.started,dot13a.started,dot14a.started,dot15a.started,dot16a.started,roi_3.started,Grid_2.stopped,high_grid_square1_2.stopped,high_grid_square2_2.stopped,high_grid_square3_2.stopped,high_grid_square4_2.stopped,high_grid_square5_2.stopped,high_grid_square6_2.stopped,high_grid_square7_2.stopped,high_grid_square8_2.stopped,high_grid_square9_2.stopped,high_grid_square10_2.stopped,high_grid_square11_2.stopped,high_grid_square12_2.stopped,high_grid_square13_2.stopped,high_grid_square14_2.stopped,high_grid_square15_2.stopped,high_grid_square16_2.stopped,dot1a.stopped,dot2a.stopped,dot3a.stopped,dot4a.stopped,dot5a.stopped,dot6a.stopped,dot7a.stopped,dot8a.stopped,dot9a.stopped,dot10a.stopped,dot11a.stopped,dot12a.stopped,dot13a.stopped,dot14a.stopped,dot15a.stopped,dot16a.stopped,roi_3.stopped,roi_3.numLooks,roi_3.timesOn,roi_3.timesOff,polygon2.started,polygon2.stopped,image_2.started,image_2.stopped,grid.started,sq1.started,sq2.started,sq3.started,sq4.started,sq5.started,sq6.started,sq7.started,sq8.started,sq9.started,sq10.started,sq11.started,sq12.started,sq13.started,sq14.started,sq15.started,sq16.started,dot1_2.started,dot2_2.started,dot3_2.started,dot4_2.started,dot16_2.started,dot15_2.started,dot14_2.started,dot12_2.started,dot13_2.started,dot11_2.started,dot9_2.started,dot10_2.started,dot8_2.started,dot7_2.started,dot6_2.started,dot5_2.started,key_resp.started,roi_2.started,grid.stopped,sq1.stopped,sq2.stopped,sq3.stopped,sq4.stopped,sq5.stopped,sq6.stopped,sq7.stopped,sq8.stopped,sq9.stopped,sq10.stopped,sq11.stopped,sq12.stopped,sq13.stopped,sq14.stopped,sq15.stopped,sq16.stopped,dot1_2.stopped,dot2_2.stopped,dot3_2.stopped,dot4_2.stopped,dot16_2.stopped,dot15_2.stopped,dot14_2.stopped,dot12_2.stopped,dot13_2.stopped,dot11_2.stopped,dot9_2.stopped,dot10_2.stopped,dot8_2.stopped,dot7_2.stopped,dot6_2.stopped,dot5_2.stopped,key_resp.stopped,roi_2.stopped,key_resp.keys,roi_2.numLooks,roi_2.timesOn,roi_2.timesOff,image.started,image.stopped,key_resp.rt,Grid.started,high_grid_square1.started,high_grid_square2.started,high_grid_square3.started,high_grid_square4.started,high_grid_square5.started,high_grid_square6.started,high_grid_square7.started,high_grid_square8.started,high_grid_square9.started,high_grid_square10.started,high_grid_square11.started,high_grid_square12.started,high_grid_square13.started,high_grid_square14.started,high_grid_square15.started,high_grid_square16.started,dot1.started,dot2.started,dot3.started,dot4.started,dot5.started,dot6.started,dot7.started,dot8.started,dot9.started,dot10.started,dot11.started,dot12.started,dot13.started,dot14.started,dot15.started,dot16.started,roi.started,Grid.stopped,high_grid_square1.stopped,high_grid_square2.stopped,high_grid_square3.stopped,high_grid_square4.stopped,high_grid_square5.stopped,high_grid_square6.stopped,high_grid_square7.stopped,high_grid_square8.stopped,high_grid_square9.stopped,high_grid_square10.stopped,high_grid_square11.stopped,high_grid_square12.stopped,high_grid_square13.stopped,high_grid_square14.stopped,high_grid_square15.stopped,high_grid_square16.stopped,dot1.stopped,dot2.stopped,dot3.stopped,dot4.stopped,dot5.stopped,dot6.stopped,dot7.stopped,dot8.stopped,dot9.stopped,dot10.stopped,dot11.stopped,dot12.stopped,dot13.stopped,dot14.stopped,dot15.stopped,dot16.stopped,roi.stopped,etRecord.started,etRecord.stopped,participant,session,date,expName,psychopyVersion,frameRate,
OS/OS10.jpg,0,0,0,6,0,0,0,0,3.789999755099416e-05,3.789999755099416e-05,52.25911389995599,53.265390099957585,0,,,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,53.265390099957585,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,54.01714659994468,1,[0.00131130003137514],[0.5299106000456959],54.01714659994468,54.51707009994425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AISHANI_1,001,2023-07-31_17h07.01.650,visuospatial,2022.2.5,60.79193654369602,
OS/OS10.jpg,0,0,0,6,1,0,1,0,,,,,0,,,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,54.51707009994425,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,55.26707589998841,1,[0.0006051000091247261],[0.4159675000119023],55.26707589998841,55.7654263000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AISHANI_1,001,2023-07-31_17h07.01.650,visuospatial,2022.2.5,60.79193654369602,
OS/OS10.jpg,0,0,0,6,2,0,2,0,,,,,0,,,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,55.7654263000004,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,56.51701579999644,3,"[0.13303409999934956, 0.597808399994392, 0.6996094000060111]","[0.4328821999952197, 0.6328959999955259, 0.7498924999963492]",56.51701579999644,57.10266499995487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AISHANI_1,001,2023-07-31_17h07.01.650,visuospatial,2022.2.5,60.79193654369602,
OS/OS30.jpg,0,1,1,15,0,0,0,0,,,61.976868799945805,62.98373649996938,0,,,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,62.98373649996938,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,63.73354299995117,2,"[0.000598300015553832, 0.14910939999390393]","[0.13219400000525638, 0.4823130000149831]",63.73354299995117,64.23351349995937,57.10266499995487,57.58369249996031,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,58.08369699999457,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,59.58364939998137,None,4,"[0.23350750003010035, 0.33406530000502244, 0.8667768000159413, 1.333462700014934]","[0.30062430002726614, 0.40018310002051294, 0.9006806000252254, 1.4005074999877252]",59.58364939998137,61.976868799945805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AISHANI_1,001,2023-07-31_17h07.01.650,visuospatial,2022.2.5,60.79193654369602,
OS/OS30.jpg,0,1,1,15,1,0,1,0,,,,,0,,,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.23351349995937,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,64.98356079997029,1,[0.0006152000278234482],[0.3850381000083871],64.98356079997029,65.48354109999491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AISHANI_1,001,2023-07-31_17h07.01.650,visuospatial,2022.2.5,60.79193654369602,
OS/OS30.jpg,0,1,1,15,2,0,2,0,,,,,0,,,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,65.48354109999491,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,66.23387349996483,2,"[0.0005807999987155199, 0.6325878000352532]","[0.4498293999931775, 0.6659675000119023]",66.23387349996483,66.75711749994662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AISHANI_1,001,2023-07-31_17h07.01.650,visuospatial,2022.2.5,60.79193654369602,
FS/311.png,0,2,2,5,0,0,0,0,,,71.41857989999698,72.41668919997755,0,,,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,72.41668919997755,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,73.16670499998145,1,[0.0006342999986372888],[0.39838650001911446],73.16670499998145,73.66668349999236,66.75711749994662,67.2501515999902,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,67.75010799994925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['left'],5,"[0.0006895999540574849, 0.4851968999719247, 0.7184598000021651, 0.8518515999894589, 0.9212184000061825]","[0.4181984000024386, 0.6847764999838546, 0.8349239999661222, 0.8850927999592386, 0.9212213999708183]",68.66902469994966,71.41857989999698,[0.8862073000636883],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AISHANI_1,001,2023-07-31_17h07.01.650,visuospatial,2022.2.5,60.79193654369602,
FS/311.png,0,2,2,5,1,0,1,0,,,,,0,,,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,73.66668349999236,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,74.41672589996597,1,[0.368645699985791],[0.40167659998405725],74.41672589996597,74.91657869995106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AISHANI_1,001,2023-07-31_17h07.01.650,visuospatial,2022.2.5,60.79193654369602,
FS/311.png,0,2,2,5,2,0,2,0,,,,,0,,,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,74.91657869995106,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,75.66661859996384,1,[0.01600300002610311],[0.4159129000036046],75.66661859996384,76.20264549995773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AISHANI_1,001,2023-07-31_17h07.01.650,visuospatial,2022.2.5,60.79193654369602,
FS/260.png,0,3,3,7,0,0,0,0,,,80.97639259998687,81.98156459996244,2,"[0.0008835999760776758, 0.21582300000591204]","[0.19915579998632893, 0.7497653000173159]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,82.73311289999401,83.23311279999325,76.20264549995773,76.68339259998174,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,77.18339009996271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['left'],6,"[0.03278339997632429, 0.23285129998112097, 0.5332085999543779, 0.666167699964717, 0.8664978999877349, 0.9328308999538422]","[0.19995179999386892, 0.4662635999848135, 0.5994138999958523, 0.8332885999698192, 0.9165683999890462, 0.9328335999744013]",78.11656039999798,80.97639259998687,[0.901438600034453],81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,81.98156459996244,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,82.73311289999401,,,AISHANI_1,001,2023-07-31_17h07.01.650,visuospatial,2022.2.5,60.79193654369602,
