Stim_images,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,eye_recoed_start.started,eye_recoed_start.stopped,polygon.started,polygon.stopped,Grid.started,high_grid_square1.started,high_grid_square2.started,high_grid_square3.started,high_grid_square4.started,high_grid_square5.started,high_grid_square6.started,high_grid_square7.started,high_grid_square8.started,high_grid_square9.started,high_grid_square10.started,high_grid_square11.started,high_grid_square12.started,high_grid_square13.started,high_grid_square14.started,high_grid_square15.started,high_grid_square16.started,dot1.started,dot2.started,dot3.started,dot4.started,dot5.started,dot6.started,dot7.started,dot8.started,dot9.started,dot10.started,dot11.started,dot12.started,dot13.started,dot14.started,dot15.started,dot16.started,roi.started,Grid.stopped,high_grid_square1.stopped,high_grid_square2.stopped,high_grid_square3.stopped,high_grid_square4.stopped,high_grid_square5.stopped,high_grid_square6.stopped,high_grid_square7.stopped,high_grid_square8.stopped,high_grid_square9.stopped,high_grid_square10.stopped,high_grid_square11.stopped,high_grid_square12.stopped,high_grid_square13.stopped,high_grid_square14.stopped,high_grid_square15.stopped,high_grid_square16.stopped,dot1.stopped,dot2.stopped,dot3.stopped,dot4.stopped,dot5.stopped,dot6.stopped,dot7.stopped,dot8.stopped,dot9.stopped,dot10.stopped,dot11.stopped,dot12.stopped,dot13.stopped,dot14.stopped,dot15.stopped,dot16.stopped,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,roi_3.numLooks,roi_3.timesOn,roi_3.timesOff,polygon2.started,polygon2.stopped,image_2.started,image_2.stopped,grid.started,sq1.started,sq2.started,sq3.started,sq4.started,sq5.started,sq6.started,sq7.started,sq8.started,sq9.started,sq10.started,sq11.started,sq12.started,sq13.started,sq14.started,sq15.started,sq16.started,dot1_2.started,dot2_2.started,dot3_2.started,dot4_2.started,dot16_2.started,dot15_2.started,dot14_2.started,dot12_2.started,dot13_2.started,dot11_2.started,dot9_2.started,dot10_2.started,dot8_2.started,dot7_2.started,dot6_2.started,dot5_2.started,key_resp.started,roi_2.started,key_resp.keys,key_resp.rt,roi_2.numLooks,roi_2.timesOn,roi_2.timesOff,image.started,image.stopped,Grid_2.started,high_grid_square1_2.started,high_grid_square2_2.started,high_grid_square3_2.started,high_grid_square4_2.started,high_grid_square5_2.started,high_grid_square6_2.started,high_grid_square7_2.started,high_grid_square8_2.started,high_grid_square9_2.started,high_grid_square10_2.started,high_grid_square11_2.started,high_grid_square12_2.started,high_grid_square13_2.started,high_grid_square14_2.started,high_grid_square15_2.started,high_grid_square16_2.started,dot1a.started,dot2a.started,dot3a.started,dot4a.started,dot5a.started,dot6a.started,dot7a.started,dot8a.started,dot9a.started,dot10a.started,dot11a.started,dot12a.started,dot13a.started,dot14a.started,dot15a.started,dot16a.started,roi_3.started,Grid_2.stopped,high_grid_square1_2.stopped,high_grid_square2_2.stopped,high_grid_square3_2.stopped,high_grid_square4_2.stopped,high_grid_square5_2.stopped,high_grid_square6_2.stopped,high_grid_square7_2.stopped,high_grid_square8_2.stopped,high_grid_square9_2.stopped,high_grid_square10_2.stopped,high_grid_square11_2.stopped,high_grid_square12_2.stopped,high_grid_square13_2.stopped,high_grid_square14_2.stopped,high_grid_square15_2.stopped,high_grid_square16_2.stopped,dot1a.stopped,dot2a.stopped,dot3a.stopped,dot4a.stopped,dot5a.stopped,dot6a.stopped,dot7a.stopped,dot8a.stopped,dot9a.stopped,dot10a.stopped,dot11a.stopped,dot12a.stopped,dot13a.stopped,dot14a.stopped,dot15a.stopped,dot16a.stopped,roi_3.stopped,grid.stopped,sq1.stopped,sq2.stopped,sq3.stopped,sq4.stopped,sq5.stopped,sq6.stopped,sq7.stopped,sq8.stopped,sq9.stopped,sq10.stopped,sq11.stopped,sq12.stopped,sq13.stopped,sq14.stopped,sq15.stopped,sq16.stopped,dot1_2.stopped,dot2_2.stopped,dot3_2.stopped,dot4_2.stopped,dot16_2.stopped,dot15_2.stopped,dot14_2.stopped,dot12_2.stopped,dot13_2.stopped,dot11_2.stopped,dot9_2.stopped,dot10_2.stopped,dot8_2.stopped,dot7_2.stopped,dot6_2.stopped,dot5_2.stopped,key_resp.stopped,roi_2.stopped,etRecord.started,etRecord.stopped,participant,session,date,expName,psychopyVersion,frameRate,
FS/100.png,0,0,0,7,0,0,0,0,3.529991954565048e-05,3.529991954565048e-05,47.360098099918105,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,48.36044759990182,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,49.11242979997769,2,"[0.0007437999593093991, 0.6969152999809012]","[0.3822523000417277, 0.7472257999470457]",0,,,49.11242979997769,49.61249809991568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_2,002,2023-06-22_19h15.46.872,visuospatial,2022.2.5,60.0448054254724,
FS/100.png,0,0,0,7,1,0,1,0,,,,,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,49.61249809991568,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,50.36239519994706,1,[0.0006516000721603632],[0.40266940009314567],0,,,50.36239519994706,50.86235339997802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_2,002,2023-06-22_19h15.46.872,visuospatial,2022.2.5,60.0448054254724,
FS/100.png,0,0,0,7,2,0,2,0,,,,,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,50.86235339997802,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,51.612770000007,0,,,0,,,51.612770000007,52.203292999998666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_2,002,2023-06-22_19h15.46.872,visuospatial,2022.2.5,60.0448054254724,
OS/OS7.jpg,0,1,1,5,0,0,0,0,,,55.15035269991495,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.16016609990038,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,56.91019669990055,1,[0.0006523999618366361],[0.7515291000017896],0,,,56.91019669990055,57.410304999910295,52.203292999998666,52.69358209997881,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,53.19612439989578,['left'],[0.7173313999082893],3,"[0.0008369999704882503, 0.06719860003795475, 0.2646919999970123]","[0.031150600058026612, 0.16486200003419071, 0.36673999996855855]",53.945628299959935,55.15035269991495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_2,002,2023-06-22_19h15.46.872,visuospatial,2022.2.5,60.0448054254724,
OS/OS7.jpg,0,1,1,5,1,0,1,0,,,,,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,57.410304999910295,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,58.159987499937415,1,[0.0006127000087872148],[0.7478952000383288],0,,,58.159987499937415,58.66422639996745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_2,002,2023-06-22_19h15.46.872,visuospatial,2022.2.5,60.0448054254724,
OS/OS7.jpg,0,1,1,5,2,0,2,0,,,,,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,58.66422639996745,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,59.41222880000714,1,[0.005247499910183251],[0.7475858998950571],0,,,59.41222880000714,59.96450439991895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_2,002,2023-06-22_19h15.46.872,visuospatial,2022.2.5,60.0448054254724,
FS/380.png,0,2,2,17,0,0,0,0,,,62.80748479999602,63.810048299958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,[0.0008194999536499381],[0.4985815000254661],64.56008729990572,65.0650134999305,59.96450439991895,60.462317999918014,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,60.960105199948885,['left'],[0.6580704000080004],1,[0.0006560999900102615],[0.683505899971351],61.64547099999618,62.80748479999602,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,63.810048299958,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,64.56008729990572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_2,002,2023-06-22_19h15.46.872,visuospatial,2022.2.5,60.0448054254724,
FS/380.png,0,2,2,17,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,[0.6628922999370843],[0.7444113999372348],65.81206409994047,66.31203599995933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.0650134999305,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,65.81206409994047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_2,002,2023-06-22_19h15.46.872,visuospatial,2022.2.5,60.0448054254724,
FS/380.png,0,2,2,17,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,[0.0007908000843599439],[0.7514034000923857],67.06222799990792,67.59513309993781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,66.31203599995933,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,67.06222799990792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_2,002,2023-06-22_19h15.46.872,visuospatial,2022.2.5,60.0448054254724,
OS/OS34.jpg,0,3,3,14,0,0,0,0,,,70.54074629989918,71.54527869995218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,[0.0008643000619485974],[0.38705190003383905],72.29525049997028,72.79320279997773,67.59513309993781,68.0953307999298,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,68.59531609993428,['left'],[0.6149392999941483],1,[0.0008100999984890223],[0.41864930000156164],69.22649299993645,70.54074629989918,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,71.54527869995218,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,72.29525049997028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_2,002,2023-06-22_19h15.46.872,visuospatial,2022.2.5,60.0448054254724,
