Stim_images,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,eye_recoed_start.started,eye_recoed_start.stopped,polygon.started,polygon.stopped,roi.numLooks,roi.timesOn,roi.timesOff,Grid_2.started,high_grid_square1_2.started,high_grid_square2_2.started,high_grid_square3_2.started,high_grid_square4_2.started,high_grid_square5_2.started,high_grid_square6_2.started,high_grid_square7_2.started,high_grid_square8_2.started,high_grid_square9_2.started,high_grid_square10_2.started,high_grid_square11_2.started,high_grid_square12_2.started,high_grid_square13_2.started,high_grid_square14_2.started,high_grid_square15_2.started,high_grid_square16_2.started,dot1a.started,dot2a.started,dot3a.started,dot4a.started,dot5a.started,dot6a.started,dot7a.started,dot8a.started,dot9a.started,dot10a.started,dot11a.started,dot12a.started,dot13a.started,dot14a.started,dot15a.started,dot16a.started,roi_3.started,Grid_2.stopped,high_grid_square1_2.stopped,high_grid_square2_2.stopped,high_grid_square3_2.stopped,high_grid_square4_2.stopped,high_grid_square5_2.stopped,high_grid_square6_2.stopped,high_grid_square7_2.stopped,high_grid_square8_2.stopped,high_grid_square9_2.stopped,high_grid_square10_2.stopped,high_grid_square11_2.stopped,high_grid_square12_2.stopped,high_grid_square13_2.stopped,high_grid_square14_2.stopped,high_grid_square15_2.stopped,high_grid_square16_2.stopped,dot1a.stopped,dot2a.stopped,dot3a.stopped,dot4a.stopped,dot5a.stopped,dot6a.stopped,dot7a.stopped,dot8a.stopped,dot9a.stopped,dot10a.stopped,dot11a.stopped,dot12a.stopped,dot13a.stopped,dot14a.stopped,dot15a.stopped,dot16a.stopped,roi_3.stopped,roi_3.numLooks,roi_3.timesOn,roi_3.timesOff,polygon2.started,polygon2.stopped,image_2.started,image_2.stopped,grid.started,sq1.started,sq2.started,sq3.started,sq4.started,sq5.started,sq6.started,sq7.started,sq8.started,sq9.started,sq10.started,sq11.started,sq12.started,sq13.started,sq14.started,sq15.started,sq16.started,dot1_2.started,dot2_2.started,dot3_2.started,dot4_2.started,dot16_2.started,dot15_2.started,dot14_2.started,dot12_2.started,dot13_2.started,dot11_2.started,dot9_2.started,dot10_2.started,dot8_2.started,dot7_2.started,dot6_2.started,dot5_2.started,key_resp.started,roi_2.started,grid.stopped,sq1.stopped,sq2.stopped,sq3.stopped,sq4.stopped,sq5.stopped,sq6.stopped,sq7.stopped,sq8.stopped,sq9.stopped,sq10.stopped,sq11.stopped,sq12.stopped,sq13.stopped,sq14.stopped,sq15.stopped,sq16.stopped,dot1_2.stopped,dot2_2.stopped,dot3_2.stopped,dot4_2.stopped,dot16_2.stopped,dot15_2.stopped,dot14_2.stopped,dot12_2.stopped,dot13_2.stopped,dot11_2.stopped,dot9_2.stopped,dot10_2.stopped,dot8_2.stopped,dot7_2.stopped,dot6_2.stopped,dot5_2.stopped,key_resp.stopped,roi_2.stopped,key_resp.keys,roi_2.numLooks,roi_2.timesOn,roi_2.timesOff,image.started,image.stopped,Grid.started,high_grid_square1.started,high_grid_square2.started,high_grid_square3.started,high_grid_square4.started,high_grid_square5.started,high_grid_square6.started,high_grid_square7.started,high_grid_square8.started,high_grid_square9.started,high_grid_square10.started,high_grid_square11.started,high_grid_square12.started,high_grid_square13.started,high_grid_square14.started,high_grid_square15.started,high_grid_square16.started,dot1.started,dot2.started,dot3.started,dot4.started,dot5.started,dot6.started,dot7.started,dot8.started,dot9.started,dot10.started,dot11.started,dot12.started,dot13.started,dot14.started,dot15.started,dot16.started,roi.started,Grid.stopped,high_grid_square1.stopped,high_grid_square2.stopped,high_grid_square3.stopped,high_grid_square4.stopped,high_grid_square5.stopped,high_grid_square6.stopped,high_grid_square7.stopped,high_grid_square8.stopped,high_grid_square9.stopped,high_grid_square10.stopped,high_grid_square11.stopped,high_grid_square12.stopped,high_grid_square13.stopped,high_grid_square14.stopped,high_grid_square15.stopped,high_grid_square16.stopped,dot1.stopped,dot2.stopped,dot3.stopped,dot4.stopped,dot5.stopped,dot6.stopped,dot7.stopped,dot8.stopped,dot9.stopped,dot10.stopped,dot11.stopped,dot12.stopped,dot13.stopped,dot14.stopped,dot15.stopped,dot16.stopped,roi.stopped,key_resp.rt,etRecord.started,etRecord.stopped,participant,session,date,expName,psychopyVersion,frameRate,
OS/OS15.jpg,0,0,0,0,0,0,0,0,6.710000161547214e-05,6.710000161547214e-05,35.27497719999519,36.2747406999988,0,,,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,36.2747406999988,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,37.02468219998991,3,"[0.09139119999599643, 0.415614799989271, 0.48044949999894015]","[0.3142410000000382, 0.4488048999919556, 0.6803501999966102]",37.02468219998991,37.524590499990154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vishal_8,001,2023-07-29_15h50.30.184,visuospatial,2022.2.5,59.99206904744571,
OS/OS15.jpg,0,0,0,0,1,0,1,0,,,,,0,,,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,37.524590499990154,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,38.27450399998634,1,[0.29975789999298286],[0.4017714999936288],38.27450399998634,38.77448589999403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vishal_8,001,2023-07-29_15h50.30.184,visuospatial,2022.2.5,59.99206904744571,
OS/OS15.jpg,0,0,0,0,2,0,2,0,,,,,0,,,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,38.77448589999403,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,39.524861899990356,2,"[0.0006237999914446846, 0.11594419999164529]","[0.01600079999479931, 0.3825600999989547]",39.524861899990356,40.10903189999226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vishal_8,001,2023-07-29_15h50.30.184,visuospatial,2022.2.5,59.99206904744571,
OS/OS47.jpg,0,1,1,13,0,0,0,0,,,45.13669089999166,46.13930359999358,1,[0.0007938999915495515],[0.36559659999329597],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,46.89101109998592,47.39102609999827,40.10903189999226,40.591047999987495,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,41.09115209999436,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,42.59103739999409,None,1,[0.0008461999968858436],[0.35024699999485165],42.59103739999409,45.13669089999166,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.13930359999358,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,46.89101109998592,,,,Vishal_8,001,2023-07-29_15h50.30.184,visuospatial,2022.2.5,59.99206904744571,
OS/OS47.jpg,0,1,1,13,1,0,1,0,,,,,3,"[0.11601169999630656, 0.18481720000272617, 0.414346999998088]","[0.15184069999668282, 0.2184116999997059, 0.4492768000054639]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,48.141348199991626,48.63923689999501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,47.39102609999827,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,48.141348199991626,,,,Vishal_8,001,2023-07-29_15h50.30.184,visuospatial,2022.2.5,59.99206904744571,
OS/OS47.jpg,0,1,1,13,2,0,2,0,,,,,2,"[0.0008050000033108518, 0.33409069999470375]","[0.09914219999336638, 0.5507548000023235]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,49.39105219999328,49.91370709998591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,48.63923689999501,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,49.39105219999328,,,,Vishal_8,001,2023-07-29_15h50.30.184,visuospatial,2022.2.5,59.99206904744571,
FS/161.png,0,2,2,1,0,0,0,0,,,53.38505479999003,54.39093319998938,2,"[0.0007636000082129613, 0.24701350000395905]","[0.18234620000293944, 0.74957820000418]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,55.14088249999622,55.640851499993005,49.91370709998591,50.40762609998637,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,50.907669799998985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['left'],2,"[0.0006832000071881339, 0.18383680000260938]","[0.15045689999533352, 0.350303500003065]",51.60573179999483,53.38505479999003,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,54.39093319998938,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,55.14088249999622,[0.6728685000125552],,,Vishal_8,001,2023-07-29_15h50.30.184,visuospatial,2022.2.5,59.99206904744571,
FS/161.png,0,2,2,1,1,0,1,0,,,,,2,"[0.21655539999483153, 0.649630400002934]","[0.24956330000713933, 0.6830035000020871]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,56.39092969999183,56.89090529999521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,55.640851499993005,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,56.39092969999183,,,,Vishal_8,001,2023-07-29_15h50.30.184,visuospatial,2022.2.5,59.99206904744571,
FS/161.png,0,2,2,1,2,0,2,0,,,,,4,"[0.0006388000037986785, 0.4002539000066463, 0.46645530000387225, 0.6690578000125242]","[0.16640700001153164, 0.43310740000742953, 0.5686052000091877, 0.7500954000133788]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,57.64070159998664,58.16897249998874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,56.89090529999521,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,57.64070159998664,,,,Vishal_8,001,2023-07-29_15h50.30.184,visuospatial,2022.2.5,59.99206904744571,
FS/50.png,0,3,3,5,0,0,0,0,,,62.76050029999169,,0,,,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,63.77222539999639,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,64.52397159999236,2,"[0.0006169999978737906, 0.28230159998929594]","[0.11562440000125207, 0.3805824000010034]",64.52397159999236,65.02206369998748,58.16897249998874,58.65734869999869,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,59.157385999991675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['right'],3,"[0.000723299992387183, 0.04991959998733364, 0.1832789999898523]","[0.0169125999964308, 0.11483869999938179, 0.6336673999903724]",59.788893199991435,62.76050029999169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0.6082939000043552],,,Vishal_8,001,2023-07-29_15h50.30.184,visuospatial,2022.2.5,59.99206904744571,
