id,start_timestamp,duration,end_timestamp,start_frame_index,index,end_frame_index,confidence,filter_response,base_data
3,230032.4322409,1.5200699999986682,230033.9523109,24,46,69,0.15482691687436595,0.5012923445869394 0.5125969670339884 0.500642104461737 0.3279829840158546 0.23539039142326212 0.2678650476607585 0.28507995078581494 0.25048385895138003 0.1758025890496098 0.11219076263860983 0.034937728921136356 -0.05067695342654982 -0.10506698099374207 -0.2398190205498921 -0.2648453059974669 -0.18679462341546907 -0.2697848691021061 -0.326058805444416 -0.47234457556044496 -0.487741598401695 -0.48426905939182374 -0.4776162704083727 -0.4582225388098717 -0.41764279705816554 -0.39605977305969314 -0.32260852778709215 -0.3081232584937325 -0.31335053654185446 -0.23755892041109644 -0.2180158984937533 -0.1278444465719372 -0.10604773406629203 -0.0834690034389497 -0.07369482958758325 -0.057001754089638076 -0.05282828101405381 -0.04243899826650279 -0.03286832460650695 -0.02857291588076839 -0.02093930487279543 -0.01614439266699322 -0.010106453189143334 -0.007552636994255843 -0.007552636994255878 -0.00755263699425603 -0.006486922502517735 -0.006111887870011552 -0.004736897018220806 -0.003752476639217894 -0.0037524766392179405 -0.003029737207624846 -0.007077808733339815 -0.004674091383263068 -0.004674091383263004 -0.007360583102261677 -0.0073605831022616015 -0.007360583102261637 -0.00401640931765256 -0.0040164093176523604 -0.004016409317652454 -0.005985250075658151 -0.005301010829431045 -0.005301010829430999 -0.0013524900983881184 0.0004694362481436602 0.004589209953943777 0.0062408656985671425 0.014592469842345508 0.01666248396590897 0.017522463092097672 0.017522463092097585 0.01798999530297749 0.02353366878297585 0.022165190290521688 0.022165190290521677 0.02158331650274764 0.0179394638096844 0.009699916398083885 0.009083096627835931 1.5188146520590764e-05 0.002423690425025139 0.0007037321726480301 0.0007037321726481237 -0.00023133224911176312 -0.008549596424456001 -0.007865357178228873 -0.007865357178228826 -0.005333269083941407 -0.0035113427374098382 0.0006084309683905122 0.006006922986772231 -0.0009120724819324166 -0.011939119409631821 0.00042016307512921446 0.0005057398919706458 0.0009732721028505484 0.003932041150552301 0.003932041150552442 0.00791559616724664 0.007727780827769561 0.007727780827769713 0.009962298251964614 0.0019663241174488286 0.009601623923690418 0.016150154449321767 0.00231617578753728 0.002145022153854604 0.0021450221538545453 0.0030533362317969348 0.0030533362317968294 -0.00491377380159165 -0.01126159672383903 -0.011261596723839163 -0.015730631572229075 -0.01015838097642982 -0.010158380976429996 -0.00022628793010028638 -0.005008092633000349 -0.002178284857008426 -0.002178284857008286 -0.0023944289595994113 -0.002394428959599458 0.0015891260570947171 0.005883613118418858 0.005883613118418824 0.008118130542613759 0.0006012232215315739 0.0006012232215317728 -0.01653613315688225 -0.007141696082221066 -0.0077699787086910905 -0.005787875917222741 -0.0056798038659271665 -0.00562013851271713 -0.005319151613447214 -0.00531915161344719 -0.005319151613447201 -0.00531915161344719 0.008454604281319576 0.010254443795592632 0.017437217412171434 0.010833155225824403 0.003857027601312772 0.0008187479443020582 0.0017446738702279082 0.0016253431638080583 0.001949295291194025 0.0025535649723475457 0.006457757508313085 0.018221688932842515 0.03458263962357117 0.1235755531876174 0.14650756480806257 0.17575196470136986 0.21695365375443043 0.30967649728663943 0.40041723802738016 0.4930694959731825 0.5841112236131933 0.6754952768434789 0.7602794843641404 0.829344214107674 0.779031193009365 0.6882384399310454 0.7323076487150193 0.7750636517565926 0.7949732248267263 0.7033065581600597 0.6116398914933932 0.5190472989008005 0.35509182983826776 0.20826603612162514 0.06735339845520551 -0.07308432816606883 -0.03383532452777465 -0.10614130518365673 -0.24901335518795054 -0.38838141669379217 -0.522191376816658 -0.6099674174060259 -0.6983962833862447 -0.7805493432043712 -0.7230842137371988 -0.6980312556725897 -0.6762247694456955 -0.6469032633781371 -0.6713891393414851 -0.617820149199228,230032.4322409 230032.4402819 230032.4482899 230032.4563079 230032.4642509 230032.4722649 230032.4802779 230032.4882249 230032.5001379 230032.5082789 230032.5162899 230032.5241829 230032.5321589 230032.5402849 230032.5481709 230032.55621389998 230032.5642449 230032.5722799 230032.5801959 230032.5882039 230032.5961629 230032.6043719 230032.6121769 230032.6202969 230032.6282859 230032.6362599 230032.64429189998 230032.6522329 230032.6602439 230032.6681779 230032.6762929 230032.6842579 230032.6921559 230032.7002319 230032.7083279 230032.7163179 230032.7242339 230032.7322289 230032.7403029 230032.7482919 230032.7562999 230032.7642739 230032.7723099 230032.78032689999 230032.7883049 230032.7962629 230032.8043579 230032.8122979 230032.82028689998 230032.8282619 230032.83632889998 230032.8443039 230032.8522859 230032.8601799 230032.8682359 230032.8763559 230032.8842489 230032.8922749 230032.9002349 230032.9083159 230032.91634189998 230032.9242839 230032.9322549 230032.94023089999 230032.9482939 230032.9602849 230032.9682909 230032.9762819 230032.9842629 230032.9922679 230033.0002339 230033.0082279 230033.0162639 230033.0243159 230033.0322839 230033.0402769 230033.0483189 230033.05633289999 230033.0642759 230033.0723469 230033.0802869 230033.0883369 230033.0962899 230033.1043559 230033.11231989998 230033.1203429 230033.1282839 230033.1363139 230033.1442819 230033.1523159 230033.1603189 230033.1683019 230033.1763319 230033.1843109 230033.1922739 230033.2002489 230033.2081969 230033.2163279 230033.22425889998 230033.23226289998 230033.2403489 230033.2483139 230033.2562569 230033.2643129 230033.27232289998 230033.2803169 230033.28829589998 230033.2962939 230033.3043199 230033.3123279 230033.3203249 230033.32827189998 230033.3362529 230033.34424089998 230033.3522459 230033.3602999 230033.3682769 230033.3763029 230033.38433489998 230033.3923219 230033.4002799 230033.4082299 230033.41633789998 230033.4283339 230033.4362619 230033.4442979 230033.4522939 230033.46032389998 230033.4682909 230033.4762829 230033.4843019 230033.4923389 230033.5003259 230033.5082949 230033.51630289998 230033.52428789999 230033.5322829 230033.5402879 230033.5483169 230033.55629789998 230033.5642729 230033.5722989 230033.5803259 230033.5883489 230033.59630089998 230033.60434289998 230033.6122829 230033.62034989998 230033.6282589 230033.63628089998 230033.64431489998 230033.6522369 230033.6603289 230033.6682639 230033.6762899 230033.68431789998 230033.69243589998 230033.7002629 230033.7083409 230033.7161889 230033.7242929 230033.7322979 230033.7402839 230033.7483089 230033.7562799 230033.76429989998 230033.7722869 230033.7803399 230033.7883259 230033.7962339 230033.80428389998 230033.8123129 230033.8202969 230033.8282549 230033.8362039 230033.8442739 230033.85231289998 230033.8603709 230033.8682719 230033.8762639 230033.8842939 230033.8963239 230033.90426789998 230033.9123069 230033.9202609 230033.9282279 230033.93619089999 230033.9442649
4,230036.4682599,0.28396100000827573,230036.7522209,145,149,153,0.42541540265845895,0.5520627931521995 0.6472124746761937 0.7292411097983517 0.6969216565500803 0.7700487463772294 0.8515293033189902 0.6769402133249133 0.5709979822393478 0.6266856589593273 0.5370658038733185 0.3735446118851217 0.28449600661085084 0.19742713649910273 0.10483454390651001 0.02161378829410136 0.13345465055061054 0.052046886106965916 -0.12113473280597159 -0.002410102529609493 -0.02259807981711376 -0.1607255556654334 -0.23430574013394995 -0.15028791729782892 -0.22617286436819803 -0.3073031581525162 -0.3899686081956645 -0.4685482315857915 -0.6421925217327958 -0.7220604001786685 -0.6195290438969642 -0.6655627974068389 -0.6396667399203048 -0.595381625755599 -0.5347742156160913 -0.5607933918635047,230036.4682599 230036.47628889998 230036.4841329 230036.49217389998 230036.5001759 230036.5083349 230036.5162289 230036.5242489 230036.5322309 230036.5403439 230036.5482229 230036.5562379 230036.5642349 230036.5722759 230036.5802359 230036.5882459 230036.59627389998 230036.60430089998 230036.6121729 230036.6201459 230036.6282909 230036.63619689998 230036.6442169 230036.6521289 230036.6602559 230036.6681839 230036.67619189998 230036.6841259 230036.6921939 230036.7044229 230036.71223089998 230036.7201979 230036.7282889 230036.7362709 230036.7442359
5,230037.0642819,0.18001699997694232,230037.24429889998,162,165,168,0.43112882878883824,0.5584710932732148 0.5853921602461593 0.577291508213731 0.5592527861136496 0.5176009145623877 0.4705489251924655 0.30181569769178357 0.26523557954784444 0.30605477567492373 0.15054636901171395 0.11588235895096768 -0.035574748778414246 -0.18866156891282448 -0.33567327393168034 -0.46753635362084733 -0.5874375261616535 -0.6007831615972613 -0.6179580854587295 -0.5362589968578368 -0.5437801612420031 -0.6144399876619746 -0.5486382006523746,230037.0642819 230037.0722579 230037.0802979 230037.0883309 230037.0963039 230037.1044589 230037.1122989 230037.1203799 230037.1282399 230037.1363109 230037.1442859 230037.1522939 230037.16034089998 230037.17231189998 230037.1802849 230037.1882879 230037.19628089998 230037.2043859 230037.2122599 230037.2202999 230037.2282869 230037.2363289
6,230038.1482869,0.23996199999237433,230038.38824889998,195,198,202,0.3184558760499906,0.5854807049036024 0.6055424278030421 0.653314223283382 0.7101359934215927 0.7178036403056868 0.7775008599247313 0.7108310536437157 0.6640536374851103 0.5270342455201273 0.3957588897042399 0.2658135287522864 0.14210569177552876 0.04951309918293618 0.12145341670229481 0.11850241833420816 0.043795236968806536 0.009960510793201595 -0.06618439531261688 -0.05216467609454798 -0.07249215448597063 -0.05296828530833739 -0.04428193753774711 -0.03964471370746957 -0.04056925349426749 -0.10369434727224194 -0.25092078646296223 -0.3696475736548124 -0.4429763148255542 -0.42110637769272624 -0.49842588714596986,230038.1482869 230038.1562369 230038.1643379 230038.1723639 230038.1804109 230038.1883029 230038.1962729 230038.2043899 230038.2122409 230038.22022289998 230038.22825689998 230038.2362469 230038.24431389998 230038.2522039 230038.2601869 230038.2682529 230038.2763329 230038.2842069 230038.2922359 230038.3002969 230038.30825489998 230038.3161849 230038.3242839 230038.3322109 230038.3403329 230038.3482139 230038.3562239 230038.3642409 230038.3723079 230038.3802999
7,230039.3883469,0.3078990000067279,230039.6962459,232,236,241,0.3482157432621619,0.5105434793877274 0.5735460994180598 0.6684219086372081 0.6930616958130862 0.7671400040245187 0.8213815442798884 0.834092146475063 0.7535166369885467 0.6216264095912638 0.4810771174242361 0.3500207314126179 0.22345940209199305 0.21000883145944177 0.17659618399136953 0.08400359139877692 0.12337848108876634 0.040043030686753786 -0.09108043305903353 -0.14373203045291721 -0.028072181480031242 0.053004506756629204 0.09505557135811775 0.12552620404517403 0.15336165318003603 0.1345203981137852 0.04605713528647699 -0.005677003131650061 -0.1295905178464632 -0.20029335983477947 -0.16014748936049575 -0.23881302622332823 -0.3924954482609476 -0.5092468630191352 -0.5285454702799031 -0.5425624602734221 -0.5710124526122384 -0.5959029328303489 -0.555583812387923,230039.3883469 230039.3961809 230039.4043199 230039.41238589998 230039.4203119 230039.42819089998 230039.4362459 230039.44431989998 230039.4522579 230039.4602019 230039.4682369 230039.4762709 230039.4846739 230039.4922819 230039.50020789998 230039.5123709 230039.5202789 230039.5282489 230039.5362609 230039.5443229 230039.55230389998 230039.5602749 230039.5682589 230039.5763259 230039.58428789998 230039.5922829 230039.6002309 230039.6082319 230039.6162649 230039.6243799 230039.6322339 230039.6403119 230039.6482589 230039.6564169 230039.6642419 230039.6723959 230039.6802679 230039.6883479
8,230044.4323009,0.2439709999889601,230044.67627189998,382,386,390,0.5075379494951623,0.5927390068805175 0.6853315994731102 0.7779241920657027 0.7829728677402629 0.8055785239334591 0.8109292660086374 0.7183366734160448 0.7385786780641656 0.5747273535505619 0.6109445486152555 0.518351956022663 0.37463280313320463 0.28204021054061196 0.13634210869210164 -0.010884811681836153 -0.025248095052274124 -0.07294225547363092 -0.19547609894678278 -0.2691124442361544 -0.4046240799490166 -0.3389569652595241 -0.48544662191748866 -0.5767072162678089 -0.5612515107804622 -0.6538441033730548 -0.6402256774538119 -0.6224846450500355 -0.6662384533403246 -0.6756978994947499 -0.6175678184416165,230044.4323009 230044.4403309 230044.44824589998 230044.4563009 230044.4643319 230044.47235989998 230044.4803639 230044.4882929 230044.4963329 230044.50442389998 230044.5122969 230044.5202389 230044.5282749 230044.5362759 230044.5442719 230044.5522319 230044.5602339 230044.56826889998 230044.5763269 230044.5842669 230044.5923019 230044.6002249 230044.6081719 230044.6163269 230044.62425989998 230044.6322479 230044.6403429 230044.6521939 230044.66020389998 230044.6683319
9,230045.1123289,0.1599700000078883,230045.2722989,403,405,407,0.3449164163164943,0.5363764299610698 0.5393658068270359 0.5373243201487359 0.5637495647803265 0.5476451152426258 0.5281101370876261 0.5577675951597244 0.46517500256713196 0.5085624873030359 0.35131086744062184 0.31446307414433333 0.15618763004191685 0.1057531143498718 0.10354110373926287 0.07358855557093921 -0.06090473911845116 -0.1081086382124841 -0.16037306061408643 -0.3004922706788692 -0.3795288133417368,230045.1123289 230045.1203439 230045.12836889998 230045.1363029 230045.14432989998 230045.1524129 230045.16045589998 230045.1682749 230045.17636389998 230045.1843029 230045.19232889998 230045.20039389998 230045.20827489998 230045.2163159 230045.2243859 230045.2323149 230045.2403069 230045.2482729 230045.2562839 230045.2642529
10,230045.4883189,0.2599749999935739,230045.7482939,414,417,421,0.4096961012004464,0.5652723942823824 0.5842878868826941 0.6276242275573416 0.6806938797879928 0.685256709167675 0.6682876476075741 0.6680587105821505 0.6414865720568866 0.5585807331699897 0.46880249529733625 0.3196270605600692 0.22703446796747673 0.1351422575457378 0.12928660566571723 0.09969957746253008 0.011208038302119668 0.017636923541261486 0.0012550449974782758 -0.11917115064167283 -0.15327764090762747 -0.2332954912624931 -0.3181757064128317 -0.290525854582968 -0.37157830359741983 -0.4641462982361453 -0.5026868076821771 -0.5607592267604389 -0.5708860062372405 -0.6177678684979176 -0.6484400268539838 -0.5919049992087314 -0.5784186250982228,230045.4883189 230045.49623289998 230045.50436289998 230045.5122909 230045.5203149 230045.5282469 230045.5362439 230045.54542389998 230045.5526579 230045.5602609 230045.5683159 230045.5802489 230045.5883399 230045.5961609 230045.6042529 230045.6122719 230045.62028089998 230045.6282189 230045.6362719 230045.64418489998 230045.65229189998 230045.66026489998 230045.6682829 230045.6762619 230045.6842769 230045.69227889998 230045.7002889 230045.7083459 230045.7162809 230045.7241909 230045.7322509 230045.7402329
11,230046.2322079,0.24813299998641014,230046.4803409,436,439,443,0.5812115396789787,0.5221758547752834 0.6091766707319644 0.6864311559329169 0.7208494938078592 0.7817047764854037 0.8233984682219873 0.8574032898262361 0.9099234095241961 0.8173308169316034 0.724738224339011 0.5892035238855702 0.634549634622401 0.5437021722067058 0.38936356150628454 0.2407717533474625 0.10868689099418087 -0.02198529341132265 -0.15061896027409732 -0.26946162982466487 -0.41527782858648143 -0.49700218199706114 -0.5800568834842844 -0.5700826874164031 -0.7154548401356099 -0.806859456968343 -0.7570943430263215 -0.7180426314431833 -0.6734764297967475 -0.6560250286866987 -0.6256365718829177 -0.6010732659751384,230046.2322079 230046.2404019 230046.2483319 230046.2563489 230046.2642099 230046.2722819 230046.2802909 230046.2894649 230046.2962409 230046.3042849 230046.3123099 230046.32026089999 230046.3282359 230046.33619889998 230046.3442899 230046.3522909 230046.3602829 230046.36820589998 230046.3762879 230046.3842759 230046.3923209 230046.4002479 230046.4080869 230046.41630389998 230046.42425789998 230046.4321979 230046.4403439 230046.4482659 230046.45632189998 230046.46424489998 230046.47225289998
12,230049.00036089998,0.304048000019975,230049.3044089,519,523,528,0.3541293646757508,0.5040311625537144 0.5903490858876242 0.62235617367014 0.710309802987247 0.7674350601084389 0.8115151950035518 0.7853733095819421 0.7190634687587438 0.696530417399712 0.6061605537571256 0.5146056780300724 0.4252844808470285 0.3402358163478166 0.2508388108869361 0.2758792948827797 0.1856061839279298 0.03707258305241857 -0.10727884527638262 -0.09538182959056327 -0.03937843712976689 -0.07260882629833985 -0.07260882629833985 -0.0726088262983399 -0.11999200245452595 -0.11999200245452613 -0.11999200245452599 -0.25043940855462393 -0.32485733681885476 -0.24031455244170133 -0.15685857919409324 -0.2120871670154867 -0.25584628307091845 -0.23224577983384803 -0.3095634956288001 -0.39131756857753835 -0.38544411544285845 -0.4729368408063426 -0.5625160543549322,230049.00036089998 230049.00814289998 230049.0161899 230049.0242859 230049.03225689998 230049.0402859 230049.0482089 230049.05632889998 230049.0642849 230049.0722629 230049.0802609 230049.0882759 230049.0963169 230049.1043259 230049.11227389998 230049.12026989998 230049.1283299 230049.1363089 230049.1442509 230049.1522179 230049.1603599 230049.16832989999 230049.1762739 230049.18424089998 230049.1922979 230049.20026389998 230049.2082699 230049.2162379 230049.2243259 230049.2322609 230049.2402989 230049.24824689998 230049.2563319 230049.2649259 230049.2722859 230049.2803019 230049.2882669 230049.2963119
